feature_name,semantic_group,primary_eligible,dev_conditional_effect,dev_validity_tier,holdout_conditional_effect,bootstrap_mean,ci_lower_95,ci_upper_95,p_value_empirical_bootstrap,ci_excludes_zero,dev_holdout_sign_concordant,confirmed_status
e_dynamic__third_party_closing_pressure_sum,E_INTERACTION,True,0.1723682989033779,CORE_CANDIDATE,0.1711647463535389,0.1714432634569659,0.153228180012746,0.1902834149632631,0.0009990009990009,True,True,CONFIRMED
e_dynamic__third_party_closing_pressure_max,E_INTERACTION,True,0.0691423431756887,CORE_CANDIDATE,0.0505399175640247,0.0506151128549503,0.0325243892109451,0.0691813849365161,0.0009990009990009,True,True,CONFIRMED
e_dynamic__n_actors_50m,E_COMPOSITION,True,0.0366577872481564,CORE_CANDIDATE,0.0436649122370296,0.0437685674016698,0.0192806987905359,0.0678891868740265,0.0009990009990009,True,True,CONFIRMED
e_dynamic__n_actors_70m,E_COMPOSITION,True,0.0358749325807665,CORE_CANDIDATE,0.0402685830787886,0.0402514347748531,0.0157384838721416,0.0642432529450509,0.0009990009990009,True,True,CONFIRMED
e_static__dist_nearest_road_edge_m,E_STATIC,True,0.0733119476152381,CORE_CANDIDATE,0.038151417206862,0.0377639549458622,0.0147554978012612,0.0616622009880835,0.0009990009990009,True,True,CONFIRMED
e_dynamic__n_actors_30m,E_COMPOSITION,True,0.0406210358718522,CORE_CANDIDATE,0.035340405533628,0.0352474589294345,0.0123284543646584,0.0600642548413994,0.0049950049950049,True,True,CONFIRMED
e_dynamic__vulnerable_proportion_70m,E_COMPOSITION,True,0.0265280579172544,CONTEXT_CANDIDATE,0.0154611933626869,0.0151677696485286,-0.0077439846007089,0.0375955884216818,0.1988011988011988,False,True,DIRECTION_CONFIRMED
e_dynamic__third_party_speed_std_mps,E_INTERACTION,True,0.0332767514481614,CORE_CANDIDATE,0.0113456949396939,0.0109482280388949,-0.0113890614977362,0.0319906665774635,0.3466533466533466,False,True,DIRECTION_CONFIRMED
e_dynamic__vehicle_proportion_70m,E_COMPOSITION,True,-0.0258563716229359,CONTEXT_CANDIDATE,-0.0143978433077547,-0.0141060226378296,-0.0366425762152426,0.0090392411048882,0.2307692307692307,False,True,DIRECTION_CONFIRMED
e_dynamic__third_party_nearest_dist_m,E_INTERACTION,True,-0.0329478920427188,CORE_CANDIDATE,-0.0297472539728126,-0.029194220852295,-0.045571202796166,-0.0120902291643324,0.0009990009990009,True,True,CONFIRMED
e_static__lane_heading_dispersion_50m,E_STATIC,True,-0.0499098393943979,CORE_CANDIDATE,-0.0364094876937178,-0.0363185522962907,-0.0604105822796477,-0.0118416964171034,0.0069930069930069,True,True,CONFIRMED
e_dynamic__third_party_mean_speed_mps,E_INTERACTION,True,-0.0435840475733739,CORE_CANDIDATE,-0.0477326919469688,-0.0477266266607914,-0.0677350947315857,-0.0269037248738247,0.0009990009990009,True,True,CONFIRMED
e_static__dist_nearest_crosswalk_m,E_STATIC,True,-0.078155339471592,CORE_CANDIDATE,-0.0845401803676605,-0.084331147837202,-0.104990750609478,-0.0658344018124821,0.0009990009990009,True,True,CONFIRMED
