feature_name,semantic_group,frame_effect,frame_ci_lower_95,frame_ci_upper_95,frame_ci_excludes_zero,scenario_peak_effect,scenario_peak_ci_lower_95,scenario_peak_ci_upper_95,scenario_peak_ci_excludes_zero,scenario_auc_effect,scenario_auc_ci_excludes_zero,scenario_tet_effect,scenario_tet_ci_excludes_zero,cross_level_classification
e_static__dist_nearest_crosswalk_m,E_STATIC,-0.0845401803676605,-0.104990750609478,-0.0658344018124821,True,-0.1284510646850969,-0.1667574520629178,-0.0914752359908766,True,-0.1203947265377928,True,-0.1109715951987734,True,CROSS_LEVEL_STABLE
e_static__dist_nearest_stop_sign_m,E_STATIC,-0.0081853082200606,-0.0314579618945399,0.0156459816124455,False,-0.0265450308209551,-0.0618674345801752,0.0101840172228031,False,0.0058152184138106,False,-0.0534842741322025,True,UNSUPPORTED_BOTH
e_static__dist_nearest_speed_bump_m,E_STATIC,-0.0106132854427892,-0.0345708802052321,0.0123683850321345,False,0.0334223832812462,-0.0023549639564552,0.0669480353501775,False,0.0035378105410061,False,0.0212765779098031,False,UNSUPPORTED_BOTH
e_static__dist_nearest_road_edge_m,E_STATIC,0.038151417206862,0.0147554978012612,0.0616622009880835,True,-0.0040438452363112,-0.0360000779825183,0.0313880054473958,False,0.0735727534968245,True,-0.013730769379722,False,FRAME_LOCAL
e_static__lane_heading_dispersion_50m,E_STATIC,-0.0364094876937178,-0.0604105822796477,-0.0118416964171034,True,0.0212164364206235,-0.0179423728091548,0.0568151944872528,False,-0.0458029908980743,True,-0.0064541983990005,False,DISCORDANT_SIGN
e_dynamic__n_actors_30m,E_COMPOSITION,0.035340405533628,0.0123284543646584,0.0600642548413994,True,0.0475088839821108,0.012524981022259,0.0815654278669473,True,0.0255317432618715,False,0.0475746449401547,True,CROSS_LEVEL_STABLE
e_dynamic__n_actors_50m,E_COMPOSITION,0.0436649122370296,0.0192806987905359,0.0678891868740265,True,0.0579259988833836,0.0228455311207967,0.0924639051489061,True,0.0296562499754209,False,0.043725080157377,True,CROSS_LEVEL_STABLE
e_dynamic__n_actors_70m,E_COMPOSITION,0.0402685830787886,0.0157384838721416,0.0642432529450509,True,0.0605626287450784,0.0276532030540737,0.0955299187959848,True,0.0344461613501537,False,0.023580008756933,False,CROSS_LEVEL_STABLE
e_dynamic__vehicle_proportion_70m,E_COMPOSITION,-0.0143978433077547,-0.0366425762152426,0.0090392411048882,False,-0.0004923730284099,-0.0387587499015774,0.0343855238824506,False,0.0231124971427403,False,-0.0353276020393609,False,UNSUPPORTED_BOTH
e_dynamic__vulnerable_proportion_70m,E_COMPOSITION,0.0154611933626869,-0.0077439846007089,0.0375955884216818,False,0.0006558008343098,-0.034651856917105,0.0392767628657437,False,-0.0228205335120147,False,0.037753902976,False,UNSUPPORTED_BOTH
e_dynamic__actor_type_entropy_70m,E_COMPOSITION,-0.0024593285162343,-0.0267218209987573,0.0197873219110713,False,0.0097563630122564,-0.0254348228802828,0.0480083321959264,False,-0.0204034526628508,False,0.0057712043212779,False,UNSUPPORTED_BOTH
e_dynamic__third_party_nearest_dist_m,E_INTERACTION,-0.0297472539728126,-0.045571202796166,-0.0120902291643324,True,-0.0459651989025673,-0.0840575902751785,-0.0081289531304465,True,-0.028544516114838,False,0.0036056572995816,False,CROSS_LEVEL_STABLE
e_dynamic__third_party_mean_speed_mps,E_INTERACTION,-0.0477326919469688,-0.0677350947315857,-0.0269037248738247,True,-0.0591307511741452,-0.0973054364797836,-0.0219389831567254,True,-0.0321502882640835,False,-0.0038408585250786,False,CROSS_LEVEL_STABLE
e_dynamic__third_party_speed_std_mps,E_INTERACTION,0.0113456949396939,-0.0113890614977362,0.0319906665774635,False,-0.0021294112895222,-0.0375521309437952,0.0323192205418774,False,0.0261982180388809,False,0.0253869347093077,False,UNSUPPORTED_BOTH
e_dynamic__third_party_heading_dispersion,E_INTERACTION,0.0053744569875895,-0.016333587204723,0.0266513940436885,False,0.0790159836467795,0.0414118602183134,0.1156876123082837,True,0.0035300388656433,False,0.0085464860315144,False,TEMPORAL_EXPOSURE_SPECIFIC
e_dynamic__third_party_closing_pressure_max,E_INTERACTION,0.0505399175640247,0.0325243892109451,0.0691813849365161,True,0.0527928094835319,0.0137413337597395,0.0900524013448961,True,0.0752611948750563,True,0.0361948204211335,True,CROSS_LEVEL_STABLE
e_dynamic__third_party_closing_pressure_sum,E_INTERACTION,0.1711647463535389,0.153228180012746,0.1902834149632631,True,0.191417997662461,0.1548535037824105,0.2299737600586183,True,0.2345207488586726,True,0.0727856141793025,True,CROSS_LEVEL_STABLE
